,IFEval,BBH,MATH,GPQA,MuSR,MMLU-Pro
IFEval,0.0,0.544,0.494,0.651,0.751,0.522
BBH,0.544,0.0,0.39,0.32,0.465,0.183
MATH,0.494,0.39,0.0,0.475,0.632,0.329
GPQA,0.651,0.32,0.475,0.0,0.476,0.321
MuSR,0.751,0.465,0.632,0.476,0.0,0.5
MMLU-Pro,0.522,0.183,0.329,0.321,0.5,0.0
