bench_a,bench_b,tau_b,DD
BBH,MMLU-Pro,0.817,0.183
BBH,GPQA,0.68,0.32
GPQA,MMLU-Pro,0.679,0.321
MATH,MMLU-Pro,0.671,0.329
BBH,MATH,0.61,0.39
BBH,MuSR,0.535,0.465
MATH,GPQA,0.525,0.475
GPQA,MuSR,0.524,0.476
IFEval,MATH,0.506,0.494
MuSR,MMLU-Pro,0.5,0.5
IFEval,MMLU-Pro,0.478,0.522
IFEval,BBH,0.456,0.544
MATH,MuSR,0.368,0.632
IFEval,GPQA,0.349,0.651
IFEval,MuSR,0.249,0.751
