benchmark,n_items,top1,topk_spread,FDR_median,FDR_min,sep_at_2sigma,adjacent_pairs
IFEval,541,0.8998,0.0426,0.057,0.0,0,9
BBH,6511,0.8269,0.0964,0.372,0.0,1,9
MATH,1324,0.7145,0.1118,0.24,0.04,1,9
GPQA,1192,0.4706,0.0361,0.124,0.041,0,9
MuSR,756,0.6024,0.0626,0.226,0.0,0,9
MMLU-Pro,12032,0.7303,0.1357,1.454,0.132,4,9
