,ARC,HellaSwag,MMLU,TruthfulQA,Winogrande,GSM8K
ARC,0.0,0.16,0.329,0.362,0.196,0.346
HellaSwag,0.16,0.0,0.385,0.408,0.19,0.41
MMLU,0.329,0.385,0.0,0.516,0.338,0.35
TruthfulQA,0.362,0.408,0.516,0.0,0.445,0.486
Winogrande,0.196,0.19,0.338,0.445,0.0,0.382
GSM8K,0.346,0.41,0.35,0.486,0.382,0.0
